"","performance","recgap","algo"
"1",0.840073529411765,0.0165854996913369,"IBCF"
"2",0.825676526117055,-0.0168185159608831,"IBCF"
"3",0.85812356979405,-0.0202307271272788,"IBCF"
"4",0.84885290148448,0.0192520775623267,"IBCF"
"5",0.865194927195867,-0.000665438165438292,"IBCF"
"6",0.83390832922622,-0.0234828670621021,"IBCF"
"7",0.808191808191808,0.00172431534390904,"IBCF"
"8",0.852488687782806,-0.0118982212619112,"IBCF"
"9",0.813462635482031,0.0148165514007736,"IBCF"
"10",0.889956331877729,-0.028925812103502,"IBCF"
"11",0.8715953307393,0.0025125288738197,"IBCF"
"12",0.851752021563342,0.0142563648944594,"IBCF"
"13",0.866666666666667,-0.00179894293206273,"IBCF"
"14",0.881196581196581,-0.0153103044496488,"IBCF"
"15",0.860944777112442,-0.0041360196141137,"IBCF"
"16",0.849358974358974,-0.0112637009565426,"IBCF"
"17",0.87016168544831,-0.0179130209571523,"IBCF"
"18",0.844819503047351,-0.0212914330328624,"IBCF"
"19",0.870626525630594,0.0124864497254186,"IBCF"
"20",0.863354037267081,0.0059875064813214,"IBCF"
"21",0.8353929807217,-0.0291356653855627,"IBCF"
"22",0.851343938562809,-0.0023280953194933,"IBCF"
"23",0.870837537840565,-0.0391252237017093,"IBCF"
"24",0.870685687988955,0.00952211368878042,"IBCF"
"25",0.880267000417188,0.0179739182129801,"IBCF"
"26",0.849395077179808,0.0147861692447681,"IBCF"
"27",0.870229007633588,0.0112627272304617,"IBCF"
"28",0.859126173948551,0.00233957577120336,"IBCF"
"29",0.859553948161543,0.0207983712644514,"IBCF"
"30",0.883640552995392,0.0127092292073077,"IBCF"
"31",0.795046439628483,-0.00166695938596739,"IBCF"
"32",0.831611570247934,0.0156523396219879,"IBCF"
"33",0.850806451612903,-0.00355425124317277,"IBCF"
"34",0.854829381145171,0.0150709077368993,"IBCF"
"35",0.85195530726257,0.0070157706717785,"IBCF"
"36",0.843669250645995,0.0112315083384682,"IBCF"
"37",0.834821428571429,-0.00701567099539446,"IBCF"
"38",0.845888724766125,0.000529460706451879,"IBCF"
"39",0.857672693555865,0.0144311030928725,"IBCF"
"40",0.846819338422392,-0.00181606735039552,"IBCF"
"41",0.88039457459926,0.00968767717602981,"IBCF"
"42",0.858080992338562,0.0111730292937056,"IBCF"
"43",0.814229249011858,-0.00976336423387791,"IBCF"
"44",0.819066147859922,0.00838722208799403,"IBCF"
"45",0.858823529411765,-0.00633517350351831,"IBCF"
"46",0.843941537010844,-0.00846119958550118,"IBCF"
"47",0.829183049366536,0.0164076831020733,"IBCF"
"48",0.878077373974209,0.0153930988202843,"IBCF"
"49",0.829656862745098,-0.0103321831431289,"IBCF"
"50",0.83921568627451,-0.021807578578469,"IBCF"
"51",0.846373500856653,-0.00147900775825816,"IBCF"
"52",0.842761692650334,0.0186838545396675,"IBCF"
"53",0.876357560568087,0.0185775589639067,"IBCF"
"54",0.874513618677043,0.00534832226196569,"IBCF"
"55",0.878878878878879,-0.0533820016116625,"IBCF"
"56",0.848344880677444,-0.0231506816721787,"IBCF"
"57",0.853029394121176,-0.00631522565484821,"IBCF"
"58",0.85866408518877,-0.00103260109934944,"IBCF"
"59",0.879249706916764,0.026633581472291,"IBCF"
"60",0.86892177589852,-0.00597167489341088,"IBCF"
"61",0.824395373291272,0.00863913688254558,"IBCF"
"62",0.862310385064177,0.0153170242455958,"IBCF"
"63",0.842105263157895,0.0140158512133125,"IBCF"
"64",0.845983133599645,0.0303976533484729,"IBCF"
"65",0.862704918032787,0.0139202550224364,"IBCF"
"66",0.853842736561528,0.0179306583980507,"IBCF"
"67",0.845574387947269,0.0054513387846723,"IBCF"
"68",0.831320892791804,0.0221674400618715,"IBCF"
"69",0.864207221350078,5.93061184143151e-05,"IBCF"
"70",0.85,-0.0176303202760791,"IBCF"
"71",0.846580406654344,-0.000981093323063842,"IBCF"
"72",0.859947643979058,0.00204058185734102,"IBCF"
"73",0.872389791183295,0.00478723404255332,"IBCF"
"74",0.854330708661417,0.0188630099174646,"IBCF"
"75",0.848858729179519,0.0467387982150499,"IBCF"
"76",0.841589014222658,-0.00582359683680245,"IBCF"
"77",0.85175751400917,-0.0113184460079534,"IBCF"
"78",0.878528656971771,-0.00467150579968101,"IBCF"
"79",0.840193704600484,0.00218938149972625,"IBCF"
"80",0.859968766267569,0.000353399026526646,"IBCF"
"81",0.85364659813999,-0.0195229400342,"IBCF"
"82",0.831238095238095,0.0012707522033204,"IBCF"
"83",0.836027713625866,0.0208835018459332,"IBCF"
"84",0.859083191850594,0.00447097221290771,"IBCF"
"85",0.838562464346834,0.0229715866006512,"IBCF"
"86",0.851044908848377,0.0116420082464224,"IBCF"
"87",0.87422497785651,-0.00925855753441962,"IBCF"
"88",0.829030686799805,-0.0352160175405598,"IBCF"
"89",0.826438848920863,-0.00866939411650125,"IBCF"
"90",0.802034760491734,-0.0112635218021635,"IBCF"
"91",0.879151943462897,0.0161356990095367,"IBCF"
"92",0.857032457496136,-0.0206246871618726,"IBCF"
"93",0.85698261357263,-0.02083684810882,"IBCF"
"94",0.867438867438867,0.0146212784008061,"IBCF"
"95",0.860631578947368,-0.00700264541214835,"IBCF"
"96",0.846252676659529,-0.0381391375536136,"IBCF"
"97",0.846794338051624,-0.000348309968117855,"IBCF"
"98",0.863232682060391,0.0303513453360548,"IBCF"
"99",0.83595922150139,0.000116872123850142,"IBCF"
"100",0.877437325905293,-0.0105621320283881,"IBCF"
